HDI,SL_UEM_TOTL_MA_ZS,SP_ADO_TFRT,SL_UEM_TOTL_FE_ZS,SL_TLF_ACTI_ZS,SP_DYN_LE00_MA_IN,SL_TLF_ACTI_1524_MA_ZS,SL_TLF_CACT_FE_ZS,SP_DYN_LE00_FE_IN,SL_EMP_VULN_FE_ZS,SL_TLF_CACT_MA_ZS
0.292,7.435,147.525,10.433,48.039,44.353,62.904,15.635,49.144,99.2370259481038,79.457
0.299,7.43,147.521,10.427,48.031,45.07,62.746,15.698,50.32,99.185699217232,79.402
0.307,7.435,147.896,10.432,48.0,50.216,62.524,15.715,52.739,99.0965067996825,79.298
0.3,7.435,155.669,10.432,47.957,49.531,62.237,15.726,53.544,99.0483879968192,79.154
0.318,7.428,156.77,10.423,47.92,51.039,61.888,15.796,54.087,98.9885698703227,78.961
0.326,7.425,154.932,10.421,47.856,51.722,61.773,15.634,54.806,98.9704763049313,78.954
0.33,7.428,156.444,10.425,47.81,52.153,61.739,15.479,55.151,98.8798724686339,78.975
0.329,7.438,154.262,10.438,47.789,51.134,61.773,15.363,54.818,98.771625558005,79.012
0.337,7.444,154.416,10.446,47.788,53.41,61.852,15.286,56.3,98.6340797184317,79.046
0.34,7.447,152.572,10.449,47.795,53.762,61.962,15.224,56.858,98.4934971577225,79.069
0.344,7.444,150.863,10.445,47.84,54.272,62.055,15.346,57.344,98.322692428092,78.966
0.368,7.432,148.141,10.431,47.909,55.227,62.148,15.514,57.672,98.5380991499538,78.851
0.379,7.422,143.37,10.418,47.991,56.032,62.237,15.695,58.65,98.4373971440672,78.742
0.395,7.415,138.827,10.409,48.079,56.658,62.326,15.869,59.216,98.2775748083208,78.651
0.402,7.411,133.071,10.403,48.169,57.013,62.434,16.035,59.697,98.2770249417838,78.576
0.41,7.416,126.106,10.41,48.098,57.133,62.317,15.841,60.243,98.1763095660912,78.596
0.426,7.421,125.858,10.417,48.054,57.342,62.144,15.655,60.909,98.2462431916679,78.659
0.431,7.429,128.171,10.428,48.018,58.172,62.001,15.506,61.529,98.1654726392885,78.696
0.441,7.426,120.635,10.425,47.978,58.82,61.913,15.426,61.892,98.0790552615176,78.654
0.449,7.425,120.82,10.423,47.952,59.278,61.772,15.44,62.408,97.9186262933536,78.536
0.457,7.413,116.454,10.407,48.005,59.825,61.68,15.769,62.993,97.4112593578625,78.238
0.467,7.397,111.286,10.386,48.08,60.317,61.574,16.186,63.514,97.1060701168958,77.896
0.475,7.371,106.537,10.349,48.176,60.791,60.868,17.118,64.027,96.2478088799941,77.046
0.48,7.34,101.454,10.306,48.268,60.812,60.131,18.088,64.274,94.7488853039367,76.163
0.479,8.355,97.415,11.552,48.358,60.76,59.345,19.096,64.576,94.1113362196985,75.253
0.483,9.362,94.018,12.789,48.449,61.193,58.514,20.141,65.096,93.4599298760758,74.313
0.485,10.36,90.342,14.017,48.541,60.105,57.673,21.227,66.099,92.7004700983585,73.356
0.486,10.137,88.431,14.706,46.738,59.923,55.5,19.836,66.458,92.1462937395636,71.269
0.492,9.93,86.803,15.418,44.939,60.619,53.346,18.402,66.677,91.5305414972802,69.228
0.488,10.458,84.296,16.783,42.609,59.866,50.818,16.463,65.432,91.6703170828141,66.689
0.473,10.97,82.565,17.134,42.224,58.915,51.711,14.787,65.279,90.8387907163459,67.703
0.632,10.331,14.784,10.272,69.274,70.321,60.091,53.13,76.631,66.8666421204863,75.022
0.616,32.095,16.155,27.05,69.963,70.66,60.405,53.737,76.972,66.6142346143263,75.625
0.618,26.865,17.855,22.974,69.319,70.957,59.983,52.962,77.118,66.6418257217756,74.887
0.623,22.224,20.157,18.881,68.804,71.202,59.567,52.316,77.258,66.4595269914466,74.261
0.632,14.969,21.869,14.105,67.988,71.428,58.831,51.374,77.511,66.1464040355706,73.314
0.644,14.655,21.756,12.913,67.498,71.669,58.254,50.76,77.746,66.2422573984859,72.681
