SL_EMP_VULN_FE_ZS,SL_EMP_VULN_MA_ZS,SL_TLF_ACTI_1524_FE_ZS,SL_TLF_ACTI_1524_MA_ZS,SL_TLF_ACTI_1524_ZS,SL_TLF_ACTI_FE_ZS,SL_TLF_ACTI_MA_ZS,SL_TLF_ACTI_ZS,SL_TLF_CACT_FE_ZS,SL_TLF_CACT_MA_ZS,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_MA_ZS,SP_ADO_TFRT,SP_DYN_LE00_FE_IN,SP_DYN_LE00_MA_IN,desenv
99.2370259481038,90.8898065364184,14.294,62.904,38.799,16.101,80.99,48.039,15.635,79.457,10.433,7.435,147.525,49.144,44.353,0
99.185699217232,90.8153669356028,14.338,62.746,38.774,16.17,80.94,48.031,15.698,79.402,10.427,7.43,147.521,50.32,45.07,0
99.0965067996825,90.8391167432813,14.314,62.524,38.69,16.19,80.84,48.0,15.715,79.298,10.432,7.435,147.896,52.739,50.216,0
99.0483879968192,90.8295929180932,14.267,62.237,38.564,16.204,80.696,47.957,15.726,79.154,10.432,7.435,155.669,53.544,49.531,0
98.9885698703227,90.8145385625705,14.273,61.888,38.424,16.278,80.504,47.92,15.796,78.961,10.423,7.428,156.77,54.087,51.039,0
98.9704763049313,90.7679408494707,14.052,61.773,38.29,16.112,80.489,47.856,15.634,78.954,10.421,7.425,154.932,54.806,51.722,0
98.8798724686339,90.729854800822,13.864,61.739,38.205,15.951,80.501,47.81,15.479,78.975,10.425,7.428,156.444,55.151,52.153,0
98.771625558005,90.694834049984,13.747,61.773,38.18,15.834,80.53,47.789,15.363,79.012,10.438,7.438,154.262,54.818,51.134,0
98.6340797184317,90.6868775354123,13.696,61.852,38.205,15.757,80.558,47.788,15.286,79.046,10.446,7.444,154.416,56.3,53.41,0
98.4934971577225,90.6995245090535,13.685,61.962,38.266,15.697,80.573,47.795,15.224,79.069,10.449,7.447,152.572,56.858,53.762,0
98.322692428092,90.7425303905625,13.937,62.055,38.444,15.828,80.465,47.84,15.346,78.966,10.445,7.444,150.863,57.344,54.272,0
98.5380991499538,90.4594663810459,14.245,62.148,38.65,16.01,80.351,47.909,15.514,78.851,10.431,7.432,148.141,57.672,55.227,0
98.4373971440672,90.2129053053415,14.56,62.237,38.858,16.205,80.244,47.991,15.695,78.742,10.418,7.422,143.37,58.65,56.032,0
98.2775748083208,90.0739314642652,14.848,62.326,39.051,16.391,80.156,48.079,15.869,78.651,10.409,7.415,138.827,59.216,56.658,0
98.2770249417838,89.8466337745648,15.107,62.434,39.227,16.566,80.085,48.169,16.035,78.576,10.403,7.411,133.071,59.697,57.013,0
98.1763095660912,89.6653944023084,14.769,62.317,38.991,16.356,80.087,48.098,15.841,78.596,10.41,7.416,126.106,60.243,57.133,0
