economy,ano,AG_AGR_TRAC_NO,AG_LND_AGRI_ZS,EN_ATM_CO2E_PC,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_PP_KD,EG_USE_COMM_CL_ZS,EG_USE_COMM_FO_ZS,AG_LND_FRST_ZS,EG_ELC_FOSL_ZS,CO2_coef
AFE,1991,0.0,0.0008900868956759921,-0.0414692014672311,0.00166743506079115,-0.026883372959025986,0.0010557388043261006,0.00844467009185701,-0.0015125325538810587,-0.005974630359884969,-1
AFG,1991,0.0,-0.0001533201478009971,-0.055988274419044415,0.0,0.0,0.0,0.0,0.0,0.0,-1
AFW,1991,0.027294182029619973,0.0019326160928080328,0.10842731624550495,-0.0546643955222693,-0.013457044177724864,0.0006951540330960992,0.04139298681255976,-0.001181624580744014,-0.043576025736314035,1
AGO,1991,0.0,0.00021657174941900337,-0.016460735403701077,0.044414579870472724,-0.023125017786596258,-3.563559946657024e-05,9.704216478567673e-05,-0.0012466270955319913,0.035516502990473986,-1
ALB,1991,-0.2301626016260162,0.0021897810218980142,-0.3161441552523685,-0.1842650148597575,-0.2756682083699823,0.007231643136907602,-0.08837482322898516,-0.000711678832117002,-0.057347159850884795,-1
AND,1991,0.0,0.0,-0.03364361222354473,-0.012353840619546998,0.0,0.0,0.0,0.0,0.0,-1
ARB,1991,0.04787191078570596,0.0005052378478620056,-0.017885336243146255,-0.0965887892428191,0.004338036634801812,-0.0007039130382239999,-0.011861167635876635,-0.00018069008422409992,0.0001372611917359734,-1
ARE,1991,0.016666666666666607,0.003520135173190706,0.05498969922622088,-0.17467903587862424,-0.04575279929498732,0.0,0.0,0.0009072092368346984,0.0,1
ARG,1991,-0.006238185255198481,0.0003471346772919759,0.04082396388832854,0.11600324345494328,0.07589999663851321,-0.0020084749910195044,0.0022800663672588595,-0.000667229390249009,0.04890582730859897,1
ARM,1991,0.0,0.0,0.024943494256730148,0.0,-0.13191146609831195,-0.0002550550780844008,-0.005435554446847624,0.0,-0.012395665314116115,1
ATG,1991,0.0,0.0,0.00978617204996124,-0.008351360809194502,0.01685236976289617,0.0,0.0,-0.0015000000000000213,0.0,1
AUS,1991,0.0,-0.0021543027478750074,-0.007897263690332612,-0.03960997821830939,-0.016435710884729282,0.0016508379995826016,-0.0023699776670466077,-0.0002692032334070049,-0.009421704086039,-1
AUT,1991,0.004484728877754307,0.001575375666504968,0.06052876988118161,-0.009040136227836202,0.024139864538772038,-0.0031015275378634046,-6.746004839741637e-05,0.000757028599127949,0.011515479252351,1
AZE,1991,0.0,0.0,-0.03949492880267724,0.0,-0.02012383103527493,0.0003535450074323304,-2.0434627631238378e-05,0.0,-0.003354333574500998,-1
BDI,1991,0.012269938650306678,-0.0019470404984420497,0.1995914531682239,0.014970143118087203,0.02913068415197073,0.0,0.0,-0.0032141744548279936,0.0,1
BEL,1991,-0.0004199376092695051,0.0,0.038648956041051896,-0.0130432803828744,0.014553717259307986,-0.009173878006180018,0.007665108462090675,0.0,0.005183911283255043,1
BEN,1991,0.019354838709677358,0.0008868393047179879,-0.19644506187793542,-0.0475033493927312,0.010825711766899726,0.0,-0.20340841991095693,-0.0062078751330260215,0.0,-1
BFA,1991,0.21547619047619038,-0.0009137426900589674,-0.015928091111941156,0.09672912936355349,0.0634816829414726,0.0,0.0,-0.0018278508771929936,0.0,-1
BGD,1991,-0.059633027522935755,-0.0050702926941690405,-0.07815998831437554,-0.0213703034563051,0.01500470719038205,-0.00025248177192273015,-0.018742694354230705,-1.536452399975019e-08,0.012999948079277034,-1
BGR,1991,-0.037727923627684956,0.00018078278947797344,-0.1928338734321401,0.0067202189928230105,-0.07534068849206088,0.023789312041118987,-0.026725152806123198,0.0004338786947479889,0.010178450481444017,-1
BHR,1991,0.0,0.0,-0.06879744002692267,0.06792001603585911,0.07491204969521625,0.0,0.0,0.00021739130434782984,0.0,-1
BHS,1991,0.026548672566371723,0.0,0.014924975153145725,-0.025855359349202304,-0.06048806366665194,0.0,0.0,0.0,0.0,1
BIH,1991,0.0,0.0,-0.10694741863979063,0.0,0.0,0.007127925567587501,-0.0015237520107551639,0.0,-0.16372998955092796,-1
